Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,"AMF, CF",55,32,17,0,0,2,2,0.16,10,5,0,0,2,0,2,0,16,9,3,2,0,7,2,4,1,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,CF,51,29,11,0,1,0,0,0,6,5,0,0,0,0,1,1,12,6,3,0,2,3,1,1,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,CF,32,13,4,0,0,0,0,0,2,1,0,0,1,0,0,0,8,3,3,2,0,3,0,0,0,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,CF,25,21,10,1,0,1,1,0.1,9,7,1,0,0,0,0,0,7,2,0,0,1,1,0,2,0,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,0,13,10,3,0,0,0,0,0,2,1,0,0,0,0,1,0,5,2,1,1,0,3,1,0,0,94,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,0,9,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,CF,37,30,8,0,0,2,1,0.39,8,5,0,0,1,0,1,0,8,2,2,1,2,5,2,0,0,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,CF,42,48,19,0,1,3,3,0.22,15,10,1,1,3,1,5,1,19,5,2,1,2,7,2,1,0,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,AMF,24,10,3,0,0,1,0,0.45,5,2,1,0,1,0,0,0,1,1,0,0,1,2,1,0,0,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,CF,48,24,11,0,0,0,0,0,9,7,1,1,1,0,1,1,10,4,4,2,1,10,3,5,3,0,0
