Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,LB,109,53,26,0,0,0,0,0,23,14,9,5,2,1,1,1,22,11,3,0,4,16,7,8,0,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,LB,107,53,34,0,0,0,0,0,41,29,7,2,2,0,2,0,9,4,1,1,6,11,2,9,3,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,LB,101,49,33,0,0,0,0,0,33,27,5,4,3,1,0,0,10,6,3,1,3,6,4,9,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,LB,95,80,49,0,0,0,0,0,41,34,4,2,1,0,2,0,25,10,7,3,8,10,3,9,0,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,LB,99,53,28,0,0,0,0,0,31,20,4,3,0,0,2,2,15,6,5,0,9,12,8,8,0,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,LB,121,50,29,0,0,0,0,0,21,16,2,1,2,2,4,2,23,13,3,1,5,6,5,8,2,55,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,LB,104,51,35,0,0,1,1,0.06,28,20,8,5,0,0,1,1,16,11,6,5,7,10,7,9,1,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,LB,104,56,33,0,0,0,0,0,28,22,1,1,2,1,3,3,22,10,6,1,6,7,2,9,3,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,LB,100,70,40,0,0,0,0,0,31,23,5,3,3,0,5,2,26,17,3,3,3,10,4,18,3,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,LB,97,57,27,0,0,0,0,0,29,17,9,4,1,0,0,0,21,9,4,2,8,15,11,11,0,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,LB,96,78,48,0,0,0,0,0,52,40,9,4,3,2,3,1,15,7,0,0,9,12,5,12,1,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,LB,79,53,44,0,0,0,0,0,36,33,1,1,0,0,4,2,9,7,0,0,6,6,3,8,1,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,LB,99,101,56,0,0,1,0,0.01,55,39,5,1,5,2,12,6,34,14,3,1,6,22,9,6,2,47,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,LB,98,48,28,0,0,0,0,0,26,20,6,4,0,0,2,2,17,8,2,0,4,7,5,10,2,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,LB,106,50,37,0,1,0,0,0,31,27,1,1,3,2,1,1,10,8,1,0,5,7,6,7,1,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,"LB, RAMF",33,33,16,0,0,1,0,0.13,18,9,2,0,4,1,4,3,12,7,1,0,1,8,3,7,2,0,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,0,26,15,5,0,0,0,0,0,7,3,3,0,1,0,0,0,6,2,0,0,1,3,0,2,0,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,RB,101,66,43,0,0,0,0,0,38,27,4,0,5,1,3,1,22,14,0,0,4,10,6,12,0,87,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,LW,18,12,6,0,0,0,0,0,5,5,0,0,2,2,0,0,3,0,0,0,0,1,1,0,0,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,RAMF,23,14,8,0,0,0,0,0,6,5,0,0,0,0,0,0,6,3,0,0,1,1,0,2,1,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,RB,101,83,53,0,0,0,0,0,58,46,3,1,1,1,3,1,19,7,3,2,4,13,4,10,4,0,0
Drake Bulldogs - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-15,CF,28,25,18,0,0,0,0,0,16,11,1,0,3,0,4,4,7,7,0,0,1,7,0,3,0,0,0
Missouri State Bears - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-09,"LAMF, LB",16,14,9,0,0,0,0,0,12,8,0,0,1,0,0,0,2,1,2,1,0,3,3,2,0,0,0
Belmont Bruins - Evansville Purple Aces 0:0,United States. NCAA D1 Missouri Valley,2022-10-06,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Bruins - UIC Flames 2:3,United States. NCAA D1 Missouri Valley,2022-10-02,0,11,4,3,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
SIUE Cougars - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-09-25,LB,96,51,31,0,0,1,0,0.07,25,20,6,4,1,0,4,1,19,11,3,1,6,7,4,9,2,0,0
IUPUI Jaguars - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-20,LB,105,72,49,0,0,0,0,0,36,27,1,0,1,1,5,2,28,20,1,1,9,13,6,6,0,0,0
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,LB,98,62,44,0,0,0,0,0,35,28,4,0,1,0,3,2,23,13,9,4,3,6,3,6,3,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,LB,100,65,40,0,0,2,0,0.28,41,30,1,0,3,0,0,0,18,9,2,1,3,16,1,6,2,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,RCMF,30,20,16,0,0,0,0,0,17,16,0,0,0,0,0,0,2,0,1,0,1,1,0,4,0,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,0,36,32,20,0,0,0,0,0,20,17,0,0,1,1,1,0,9,3,1,0,2,5,1,2,1,64,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,0,32,22,12,0,0,0,0,0,12,10,0,0,0,0,2,1,8,2,1,0,1,3,2,3,1,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,RW,17,10,4,0,0,0,0,0,5,2,2,0,0,0,0,0,4,2,0,0,1,6,4,2,0,0,0
