Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,CF,53,28,13,0,0,0,0,0,16,7,2,1,2,0,2,0,9,5,0,0,1,10,0,1,1,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,"LCMF, RCMF, CF",107,56,31,0,0,1,1,0.01,31,25,5,3,0,0,2,0,16,5,2,0,6,11,4,4,1,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,"CF, RCMF",97,53,36,0,0,1,1,0.18,33,26,7,4,1,0,0,0,10,6,0,0,2,10,3,6,2,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,RCMF,95,93,70,0,0,0,0,0,67,55,11,4,0,0,2,0,17,9,4,2,3,10,1,10,5,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,"LCMF, RCMF",99,60,35,0,0,0,0,0,39,26,11,4,0,0,1,1,13,8,3,3,3,13,5,10,3,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,"RCMF, CF",118,42,19,0,0,0,0,0,17,13,4,4,1,1,0,0,16,5,3,1,1,14,8,4,2,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,RCMF,96,78,58,0,1,1,0,0.05,54,49,11,8,1,1,4,2,19,9,6,3,1,6,4,8,0,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"LCMF, RCMF",95,41,29,0,0,2,0,0.06,29,25,6,5,2,1,0,0,6,3,2,1,3,7,4,8,2,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,"AMF, RCMF",61,35,18,0,0,0,0,0,23,17,2,1,0,0,2,0,7,1,0,0,0,5,2,0,0,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,"AMF, LCMF",88,40,20,0,0,1,1,0.05,19,15,3,1,0,0,2,1,8,3,1,0,2,6,1,5,4,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,RCMF,96,57,36,0,0,1,0,0.02,33,26,2,1,1,0,3,2,16,9,2,1,3,9,2,7,2,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,RCMF,75,50,36,0,0,1,0,0.11,33,29,8,6,0,0,3,2,14,6,0,0,0,3,1,2,2,61,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,"LCMF, RCMF",95,71,60,0,0,1,1,0.32,55,50,4,2,0,0,1,1,11,8,4,4,1,10,6,10,3,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,"LCMF, RCMF",90,65,43,0,0,1,0,0,44,34,7,5,0,0,2,2,14,7,2,1,5,14,5,11,4,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,RCMF,87,40,26,0,0,0,0,0,22,19,5,3,1,1,2,0,13,5,2,0,3,6,1,10,2,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,"AMF, LAMF, LCMF",87,33,15,0,0,1,0,0.75,19,12,2,1,4,0,4,1,8,3,2,1,2,8,2,4,2,0,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,LAMF,47,27,11,0,1,1,0,0.03,9,6,1,1,1,1,2,2,14,5,0,0,0,4,2,0,0,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,"CF, LAMF",83,33,15,0,0,0,0,0,15,12,0,0,2,1,1,0,9,3,4,1,2,13,5,6,3,0,0
