Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,CF,66,29,14,0,0,2,1,0.25,10,8,1,0,0,0,1,0,13,5,5,3,1,6,1,3,3,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,CF,81,49,21,1,0,3,1,1.47,11,9,0,0,0,0,1,1,22,10,7,3,3,8,1,5,4,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,CF,71,22,7,0,0,2,0,0.27,3,2,0,0,1,1,0,0,16,5,12,2,1,5,0,1,0,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,CF,57,25,12,0,0,2,0,0.52,8,7,0,0,0,0,1,0,10,5,6,4,2,8,2,3,1,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,CF,67,42,17,1,0,2,1,0.26,12,6,3,0,1,0,2,1,18,10,7,3,1,16,5,3,1,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,CF,68,22,14,0,0,1,0,0.13,7,6,0,0,0,0,0,0,11,8,4,3,2,5,2,2,1,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,"AMF, CF",61,31,15,0,0,0,0,0,9,9,1,1,0,0,1,0,16,6,6,2,1,6,2,3,2,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"AMF, CF",70,31,16,1,0,3,1,0.25,7,6,1,0,0,0,1,0,17,8,8,5,0,7,1,1,1,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,AMF,48,20,9,0,0,0,0,0,8,6,1,0,0,0,0,0,6,3,2,1,1,4,1,2,1,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,CF,40,15,7,0,0,1,1,0.24,3,3,0,0,0,0,0,0,6,3,2,0,0,0,0,1,1,0,0
