Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,LW,38,13,6,0,0,0,0,0,7,5,1,0,1,0,0,0,4,1,0,0,0,3,2,1,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,LW,13,7,6,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,0,0,1,0,3,1,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,RW,14,9,7,0,0,0,0,0,4,4,1,1,0,0,0,0,4,3,1,0,2,2,2,3,0,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,0,18,10,3,0,0,0,0,0,3,2,0,0,0,0,1,0,6,1,0,0,3,1,0,3,0,78,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,0,10,7,3,0,0,0,0,0,3,1,1,0,0,0,1,0,4,2,0,0,0,2,2,2,0,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,LW,34,25,18,0,0,0,0,0,12,10,1,1,1,0,1,1,11,8,1,1,0,1,0,3,0,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,0,7,8,4,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,0,0,0,1,1,0,0,72,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,1,1,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,LW,13,7,5,0,0,0,0,0,2,1,0,0,1,0,0,0,4,3,2,1,0,2,1,1,0,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,LW,10,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,5,2,0,0,0,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,LW,31,25,21,0,0,0,0,0,15,14,1,1,2,1,5,5,7,7,0,0,0,2,1,4,4,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,LAMF,14,8,4,0,0,0,0,0,3,3,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0
Drake Bulldogs - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-15,0,18,10,6,0,0,0,0,0,5,3,1,1,2,0,1,1,5,3,0,0,0,3,1,1,1,0,0
Belmont Bruins - Evansville Purple Aces 0:0,United States. NCAA D1 Missouri Valley,2022-10-06,0,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,3,1,0,0,0,0
Belmont Bruins - UIC Flames 2:3,United States. NCAA D1 Missouri Valley,2022-10-02,0,15,13,8,0,0,0,0,0,8,4,1,0,2,0,2,2,5,4,0,0,1,2,1,3,0,0,0
SIUE Cougars - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-09-25,0,21,10,7,0,0,0,0,0,2,1,0,0,1,0,2,1,8,6,1,1,0,2,0,1,0,0,0
IUPUI Jaguars - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-20,"LW, RW",37,26,4,0,0,1,0,0.02,7,2,2,0,2,1,5,1,12,2,1,0,0,7,1,1,0,0,0
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,LAMF,43,32,21,0,0,1,1,0.03,17,11,1,1,3,0,5,5,11,9,1,0,1,5,1,2,2,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,RW,29,17,6,0,0,0,0,0,4,2,0,0,1,0,4,1,11,4,1,1,0,6,2,0,0,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,0,17,12,4,0,0,0,0,0,3,1,0,0,0,0,0,0,6,3,1,1,0,4,2,1,0,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,CF,27,6,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,LWB,51,34,18,0,0,0,0,0,20,12,3,0,2,0,1,1,9,5,3,2,3,11,1,6,2,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,0,42,30,11,0,0,0,0,0,8,5,0,0,2,0,4,3,15,6,1,0,3,7,3,1,0,0,0
Mercer Bears - Belmont Bruins 4:3,United States. NCAA D1 Southern,2021-11-14,LAMF,16,4,1,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
UNCG Spartans - Belmont Bruins 1:2,United States. NCAA D1 Southern,2021-11-08,0,10,8,3,0,0,0,0,0,3,2,1,0,0,0,0,0,4,1,0,0,0,3,2,1,0,40,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-11-05,LAMF,10,4,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Eastern Illinois Panthers - Belmont Bruins 0:2,United States. NCAA D1 Non-conference matches,2021-10-26,LW,31,22,11,0,0,0,0,0,9,7,0,0,2,0,2,2,10,4,0,0,1,2,1,3,2,0,0
Belmont Bruins - UNCG Spartans 2:1,United States. NCAA D1 Southern,2021-10-17,LW,57,41,19,0,0,1,0,0.04,13,10,1,1,0,0,2,0,24,9,7,5,0,12,3,6,3,0,0
Belmont Bruins - Evansville Purple Aces 2:1,United States. NCAA D1 Non-conference matches,2021-10-13,LAMF,44,26,14,0,0,0,0,0,9,6,1,0,1,0,2,2,12,7,2,1,2,3,1,3,2,50,0
Belmont Bruins - Wofford Terriers 1:0,United States. NCAA D1 Southern,2021-10-10,LAMF,27,19,8,0,0,1,0,0.02,6,5,0,0,0,0,1,1,6,3,1,0,0,1,1,2,2,0,0
Belmont Bruins - IUPUI Jaguars 4:0,United States. NCAA D1 Non-conference matches,2021-10-05,"LW, RCMF3, RW",50,45,22,0,0,0,0,0,15,13,2,1,0,0,1,1,19,9,1,1,1,4,2,6,6,0,0
VMI Keydets - Belmont Bruins 0:5,United States. NCAA D1 Southern,2021-10-02,LW,51,44,22,0,1,1,0,0.05,16,14,0,0,1,1,2,1,15,7,1,1,2,5,2,2,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2021-09-30,LW,46,32,16,0,0,0,0,0,16,12,2,0,0,0,3,1,10,4,2,1,2,6,1,3,3,0,0
Furman Paladins - Belmont Bruins 2:1,United States. NCAA D1 Southern,2021-09-26,0,18,7,2,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,2,0,0,1,1,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-09-19,RAMF,37,32,16,0,0,0,0,0,13,12,1,1,2,1,0,0,16,4,2,0,0,3,1,3,3,0,0
Belmont Bruins - Georgia State Panthers 2:1 (E),United States. NCAA D1 Non-conference matches,2021-09-11,LAMF,42,31,18,0,0,0,0,0,10,9,0,0,1,0,2,1,17,8,1,1,0,1,0,4,0,0,0
Belmont Bruins - SIUE Cougars 1:0,United States. NCAA D1 Non-conference matches,2021-09-07,LAMF,39,22,9,0,1,0,0,0,12,6,2,0,2,0,1,0,8,3,2,1,0,7,2,2,1,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,LW,26,14,9,0,0,0,0,0,8,6,1,0,0,0,1,0,6,3,1,1,2,5,2,3,1,0,0
Missouri State Bears - Belmont Bruins 3:1,United States. NCAA D1 Non-conference matches,2021-08-27,LW,26,25,8,0,0,0,0,0,10,7,3,1,0,0,0,0,5,1,1,0,1,4,2,1,1,0,0
ETSU Buccaneers - Xavier Musketeers 0:2,United States. NCAA D1 Non-conference matches,2021-02-05,LAMF,25,20,7,0,0,0,0,0,8,5,1,0,0,0,1,0,5,2,0,0,4,5,2,2,0,0,0
