Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,CF,58,42,16,0,0,0,0,0,13,7,1,0,0,0,2,2,24,8,8,2,2,12,3,3,1,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,CF,24,20,4,0,0,0,0,0,6,2,0,0,0,0,1,0,9,1,3,1,2,6,2,2,0,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,CF,40,25,10,0,0,1,0,0.22,6,6,0,0,0,0,0,0,15,4,4,1,0,2,2,0,0,37,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,CF,57,42,19,0,0,3,0,0.09,11,8,0,0,0,0,2,1,24,10,11,6,1,12,0,1,1,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,CF,40,23,9,0,0,0,0,0,5,4,0,0,0,0,1,0,10,4,6,2,1,10,3,2,2,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,CF,73,41,17,0,1,0,0,0,9,6,0,0,2,2,2,2,22,11,7,4,3,15,2,2,0,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,CF,35,31,12,0,0,0,0,0,9,7,0,0,1,0,3,2,17,5,4,0,0,8,1,2,1,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"AMF, CF",43,24,10,0,0,0,0,0,9,8,0,0,1,0,0,0,13,2,6,0,0,5,0,0,0,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,CF,53,51,20,0,0,0,0,0,12,6,0,0,0,0,3,2,31,14,10,6,2,14,5,2,0,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,"AMF, CF",35,32,8,0,0,0,0,0,5,3,1,1,0,0,1,1,17,5,5,2,0,5,1,1,1,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,CF,49,32,13,0,0,0,0,0,10,6,0,0,1,0,2,2,14,7,4,2,0,7,0,1,1,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,CF,48,31,14,0,0,1,0,0.1,9,7,0,0,0,0,4,2,17,6,2,0,1,7,1,3,2,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,CF,24,14,2,0,0,1,0,0.22,2,0,0,0,0,0,0,0,7,2,3,1,0,3,2,0,0,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,0,34,18,7,0,0,0,0,0,5,3,1,1,0,0,0,0,9,4,2,2,1,5,2,1,0,39,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,"AMF, CF",51,38,18,0,0,2,0,0.15,15,9,1,0,1,0,1,0,17,9,6,5,0,8,2,0,0,0,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,CF,29,34,18,0,0,1,0,0.09,11,8,1,1,0,0,1,1,16,9,3,3,0,7,1,1,1,45,54
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,CF,66,39,18,0,0,3,0,0.3,12,11,1,1,0,0,3,2,15,7,6,4,0,7,2,3,2,0,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,CF,27,24,10,1,0,4,1,0.63,6,3,0,0,0,0,2,2,10,6,3,1,0,6,0,0,0,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,CF,29,24,9,0,0,1,0,0.02,5,3,0,0,0,0,1,1,10,6,5,2,2,8,2,2,2,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,CF,24,25,4,0,0,0,0,0,4,1,1,0,1,0,0,0,14,3,6,2,0,9,2,1,0,0,0
Missouri State Bears - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-09,CF,38,33,12,0,0,0,0,0,9,5,0,0,0,0,1,1,14,7,3,3,0,8,2,0,0,0,0
Belmont Bruins - Evansville Purple Aces 0:0,United States. NCAA D1 Missouri Valley,2022-10-06,CF,60,55,23,0,0,0,0,0,12,10,0,0,0,0,5,2,33,13,12,5,1,14,4,0,0,0,0
Belmont Bruins - UIC Flames 2:3,United States. NCAA D1 Missouri Valley,2022-10-02,CF,28,24,7,0,0,0,0,0,5,1,0,0,1,0,1,0,15,4,7,1,0,11,2,2,2,0,0
SIUE Cougars - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-09-25,CF,44,35,18,0,0,2,0,0.08,9,8,0,0,0,0,0,0,23,10,11,5,0,12,2,3,2,0,0
IUPUI Jaguars - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-20,CF,38,31,9,0,0,0,0,0,9,5,0,0,0,0,1,0,14,3,4,1,1,6,0,1,0,81,0
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,CF,43,39,17,0,0,0,0,0,12,9,0,0,1,0,3,2,24,8,7,3,0,8,1,2,2,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,CF,34,23,14,0,0,2,1,0.32,8,7,0,0,0,0,1,1,11,6,3,2,1,7,1,2,2,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,CF,44,35,7,0,0,1,0,0.05,6,3,1,0,0,0,2,0,19,4,10,3,1,13,5,0,0,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,CF,16,12,8,0,0,1,0,0,4,4,0,0,0,0,0,0,5,4,1,1,1,1,1,0,0,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,CF,51,34,12,0,0,4,0,1.24,10,7,0,0,1,1,1,1,16,5,5,2,1,9,2,1,1,0,0
Belmont Bruins - Evansville Purple Aces 2:1,United States. NCAA D1 Non-conference matches,2021-10-13,CF,48,52,15,0,0,1,0,0.03,12,7,0,0,1,0,1,1,28,8,11,4,0,14,2,2,2,0,0
Belmont Bruins - Wofford Terriers 1:0,United States. NCAA D1 Southern,2021-10-10,CF,62,74,16,0,0,1,0,0.17,10,8,1,1,0,0,6,0,45,8,10,1,2,19,1,2,2,0,0
Belmont Bruins - IUPUI Jaguars 4:0,United States. NCAA D1 Non-conference matches,2021-10-05,CF,45,40,14,0,0,2,2,0.26,9,4,0,0,0,0,2,2,17,7,8,5,0,11,4,3,1,0,0
VMI Keydets - Belmont Bruins 0:5,United States. NCAA D1 Southern,2021-10-02,CF,56,57,24,1,0,2,1,0.19,13,11,2,2,0,0,6,2,29,12,6,2,0,11,1,3,3,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2021-09-30,CF,64,62,24,1,0,5,2,0.84,13,7,0,0,0,0,1,1,34,15,15,8,2,18,5,3,3,0,0
Furman Paladins - Belmont Bruins 2:1,United States. NCAA D1 Southern,2021-09-26,CF,73,54,25,0,0,0,0,0,17,10,0,0,4,0,2,1,31,15,13,5,0,16,2,4,3,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-09-19,CF,50,55,18,0,0,0,0,0,13,11,0,0,0,0,0,0,30,7,15,3,1,13,3,3,3,0,0
Belmont Bruins - Georgia State Panthers 2:1 (E),United States. NCAA D1 Non-conference matches,2021-09-11,CF,48,45,18,0,0,4,2,0.89,8,7,0,0,2,2,3,1,27,9,7,3,0,10,2,2,2,0,0
Belmont Bruins - SIUE Cougars 1:0,United States. NCAA D1 Non-conference matches,2021-09-07,CF,49,39,16,0,0,2,1,0.71,8,5,0,0,1,0,1,1,24,10,6,1,2,14,5,2,1,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,CF,44,30,9,0,0,0,0,0,6,3,0,0,1,0,1,1,19,6,6,3,1,10,3,1,0,0,0
Coastal Carolina Chanticleers - Charleston Cougars 2:1,United States. NCAA D1 Non-conference matches,2021-03-07,CF,14,14,3,0,0,0,0,0,1,1,0,0,0,0,0,0,9,2,6,1,0,6,4,0,0,0,0
Coastal Carolina Chanticleers - Virginia Tech Hokies University 0:2,United States. NCAA D1 Non-conference matches,2021-02-28,CF,15,17,5,0,0,0,0,0,5,4,0,0,0,0,0,0,7,1,3,1,0,4,0,0,0,0,0
Coastal Carolina Chanticleers - Georgia Southern Eagles 6:0,United States. NCAA D1 Sun Belt,2020-11-13,CF,43,46,19,2,1,5,3,0.62,11,9,0,0,0,0,1,1,19,7,9,2,1,9,0,2,1,0,0
Georgia Southern Eagles - Coastal Carolina Chanticleers 0:3,United States. NCAA D1 Sun Belt,2020-11-06,CF,21,24,8,0,0,0,0,0,7,4,0,0,0,0,0,0,9,4,3,2,0,8,1,1,1,0,0
