Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,"DMF, RCMF",109,60,36,0,0,0,0,0,33,26,4,3,0,0,0,0,19,10,5,3,6,14,9,19,5,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,RCB,107,73,55,0,0,0,0,0,48,42,6,4,0,0,2,1,20,13,2,1,3,11,7,10,0,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,"LCB, RCB",101,64,42,0,0,0,0,0,41,33,6,2,0,0,0,0,16,8,5,3,7,7,5,10,0,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,LCB,95,87,68,0,0,0,0,0,62,54,8,5,0,0,0,0,14,10,6,5,8,11,8,13,2,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,LCB,99,59,35,0,0,0,0,0,38,25,12,6,0,0,1,1,12,7,3,2,9,12,9,12,1,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,"LCMF, RCMF",81,25,15,0,0,0,0,0,16,11,0,0,0,0,1,1,5,4,0,0,5,5,3,4,2,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,LCMF,19,15,9,0,0,0,0,0,12,8,1,1,0,0,0,0,1,1,0,0,1,4,2,0,0,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"DMF, RCMF",35,23,14,0,0,0,0,0,14,10,2,1,0,0,1,0,6,4,0,0,2,7,2,5,2,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,RCMF,56,38,25,0,0,0,0,0,26,18,4,1,0,0,3,2,11,7,1,1,2,7,4,3,0,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,RCMF,97,49,29,0,0,0,0,0,28,17,4,3,0,0,0,0,16,12,2,0,5,10,5,9,4,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,RCB,96,91,63,0,0,1,0,0.06,64,49,7,3,0,0,1,1,19,13,6,5,9,20,14,14,1,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,RCB,77,69,51,0,0,0,0,0,51,43,5,1,0,0,1,1,10,5,6,2,3,7,2,8,0,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,RCB,99,75,54,0,0,0,0,0,47,42,6,5,0,0,0,0,22,11,11,5,3,5,3,14,3,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,RCB,98,48,38,0,0,0,0,0,42,34,4,1,0,0,0,0,5,4,2,2,4,7,4,5,0,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,RCB,106,51,33,0,0,0,0,0,36,28,11,5,0,0,1,1,8,5,3,1,4,5,2,5,0,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,"RCMF, RDMF",56,39,21,0,0,0,0,0,16,8,3,1,2,1,2,2,20,12,9,5,2,12,4,14,1,0,0
