Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,"LCMF3, LW",109,61,30,1,0,5,1,0.13,25,17,4,2,0,0,3,1,19,7,3,0,5,15,7,7,3,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,"LW, CF",107,65,37,1,0,2,2,0.37,32,26,2,0,1,0,9,3,18,7,0,0,1,12,2,4,4,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,"CF, LW",72,44,25,0,0,3,0,0.06,23,18,1,0,0,0,4,3,11,6,1,0,2,8,3,2,2,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,"LW, RW, CF",72,62,31,0,0,3,0,0.08,27,19,1,0,3,0,6,2,20,8,3,1,2,12,4,8,3,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,"LW, CF",82,66,36,0,0,1,0,0.01,31,23,6,3,2,0,8,3,23,11,3,3,2,11,4,7,2,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,LW,115,67,32,0,0,5,2,0.23,27,18,5,2,1,1,7,3,24,10,0,0,4,18,5,7,3,90,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,LW,97,65,33,2,0,3,2,0.69,29,23,2,1,1,0,7,3,22,7,0,0,4,12,3,4,1,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"LCMF3, LW, RW",91,57,41,0,2,3,2,0.17,32,28,5,5,4,1,6,3,15,8,1,0,0,9,0,5,3,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,LW,93,70,31,0,0,3,1,0.2,29,18,4,1,2,0,12,7,24,10,0,0,5,9,1,4,2,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,LW,92,56,27,0,0,1,0,0,27,16,5,2,3,0,4,0,18,9,0,0,1,12,3,5,4,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,"LW, RW",92,80,44,0,0,2,1,0.41,37,24,6,3,2,1,10,6,27,16,0,0,4,22,2,8,7,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,LW,81,52,35,1,0,4,2,0.55,33,24,1,1,2,0,4,3,11,8,1,0,0,11,0,3,2,0,0
