Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,"RCMF3, RW",107,64,33,0,0,0,0,0,35,19,3,1,2,1,6,6,21,12,3,0,4,18,6,2,2,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,"LW, RW",98,79,40,0,0,2,0,0.06,37,25,1,0,4,0,8,6,31,13,4,1,7,14,4,6,1,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,"LW, RW",72,43,28,0,0,0,0,0,30,23,3,1,3,1,3,1,8,4,1,1,3,8,3,4,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,"LW, RW",73,74,44,0,0,0,0,0,46,33,4,1,7,4,8,4,20,8,1,1,1,14,4,3,1,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,"LW, RW",94,75,28,0,0,1,0,0.09,32,17,7,2,4,1,8,2,26,9,0,0,2,17,7,7,2,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,RW,115,52,31,0,1,2,1,0.1,20,14,1,0,1,0,3,2,21,13,2,2,4,11,5,5,2,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,RW,93,72,41,0,1,2,0,0.02,38,28,2,0,7,2,6,5,24,10,1,0,2,10,1,8,4,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"LW, RW",93,48,26,0,0,2,0,0.01,24,16,1,1,6,0,7,3,14,6,1,1,1,7,2,5,4,69,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,RW,62,49,23,0,0,0,0,0,22,15,2,0,1,0,9,4,15,7,1,0,4,9,1,7,3,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,RW,93,42,22,0,0,0,0,0,25,16,1,0,2,0,2,0,9,5,0,0,0,10,3,3,2,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,"LW, RW",90,77,46,0,0,1,0,0.05,47,34,5,3,6,2,4,3,20,9,2,0,4,16,5,7,3,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,RW,34,32,19,0,0,2,1,0.16,17,9,1,1,3,2,4,3,9,7,0,0,2,7,1,3,3,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,RW,97,84,57,0,0,1,0,0.01,49,40,3,2,4,1,7,7,24,14,2,0,2,13,1,4,3,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,RW,84,58,34,0,1,3,1,0.61,29,20,3,0,3,1,6,5,18,11,1,1,5,12,4,5,2,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,RW,80,48,27,0,0,2,1,0.35,23,15,4,1,3,0,7,5,19,11,3,0,3,14,3,1,1,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,"RAMF, RW",93,60,39,0,0,1,0,0.06,24,19,3,2,1,1,7,4,23,11,0,0,1,6,3,3,2,0,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,"RAMF, RB5, RW",83,59,25,0,0,0,0,0,22,10,7,2,3,2,7,2,24,12,1,0,6,14,4,5,1,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,"RAMF, RW",83,82,46,0,0,0,0,0,43,29,8,5,7,2,4,1,30,14,2,0,1,15,6,7,3,0,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,RW,56,75,46,0,0,3,2,0.07,30,21,1,1,9,3,14,11,28,17,0,0,0,10,0,3,2,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,RAMF,71,59,34,0,0,2,0,0.04,28,21,2,0,1,0,3,2,21,13,1,1,7,11,4,9,2,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,RAMF,79,76,43,0,0,2,1,0.04,45,34,5,4,1,0,4,1,19,8,3,1,5,14,5,6,3,0,0
