Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,LCMF,93,49,28,0,0,0,0,0,28,19,8,4,0,0,1,0,15,9,3,1,8,14,5,13,4,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,"LCMF, RCMF",102,64,42,0,0,1,1,0.05,32,26,3,1,0,0,2,0,24,13,5,3,1,11,5,6,2,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,LCMF,68,48,32,0,0,0,0,0,30,23,5,1,1,0,0,0,13,8,0,0,1,11,6,9,3,28,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,LCMF,80,62,43,0,0,0,0,0,41,32,2,0,0,0,0,0,16,9,4,2,2,10,5,7,4,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,"LCMF, RCMF",99,61,34,0,0,0,0,0,29,22,4,2,0,0,1,1,18,11,5,3,5,11,5,13,4,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,LCMF,80,46,22,0,0,0,0,0,19,16,4,3,0,0,2,1,20,6,2,0,1,6,4,3,1,52,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,LCMF,93,85,58,0,0,0,0,0,62,50,11,6,1,0,0,0,19,8,5,2,3,11,7,12,5,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,LCMF,69,62,44,0,0,1,0,0,37,31,8,5,1,0,1,1,21,12,2,0,5,8,3,14,9,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,"LCMF, RCMF",96,74,40,1,0,1,1,0.13,37,31,4,2,0,0,1,0,19,8,6,4,7,12,7,9,1,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,LCMF,67,26,13,0,0,1,0,0.03,9,7,1,0,0,0,0,0,9,6,1,1,1,2,1,5,1,0,0
