Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,RCMF,44,32,16,0,0,0,0,0,15,13,2,1,0,0,1,0,11,3,1,0,5,3,0,5,1,13,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,"CF, LCMF, RCMF",88,51,33,0,0,0,0,0,28,23,1,1,1,0,1,1,16,7,6,3,0,9,4,5,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2023-10-18,"LCMF, CF",50,33,17,1,0,1,1,0.04,12,12,0,0,1,1,1,1,14,4,7,2,2,5,3,2,0,0,0
Belmont Bruins - Bowling Green Falcons 2:1,United States. NCAA D1 Missouri Valley,2023-10-15,"AMF, CF",40,23,10,0,0,0,0,0,6,4,0,0,0,0,1,0,10,5,1,1,1,4,0,3,3,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,LCMF,31,14,6,1,0,1,1,0.32,6,4,0,0,0,0,1,0,7,1,2,1,1,6,1,1,0,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,AMF,45,22,13,0,0,1,1,0.02,11,8,1,0,0,0,0,0,5,4,2,2,0,4,2,1,1,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,AMF,19,12,5,0,0,0,0,0,6,3,0,0,0,0,1,1,4,2,0,0,1,2,0,1,1,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,LCMF,45,31,17,1,1,1,1,0.17,13,11,0,0,0,0,0,0,11,5,2,1,4,4,2,7,4,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,AMF,22,14,5,0,0,0,0,0,5,4,2,2,0,0,1,0,4,1,0,0,1,1,0,1,1,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,0,18,11,5,0,0,1,0,0.07,7,4,0,0,0,0,0,0,2,1,0,0,1,4,1,1,0,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,LCMF,51,41,16,0,0,0,0,0,18,14,1,1,0,0,4,1,13,2,1,0,3,6,3,3,3,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,AMF,23,21,10,0,0,0,0,0,9,8,2,1,0,0,0,0,5,2,1,0,2,0,0,4,2,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,0,32,22,11,0,0,0,0,0,11,5,3,0,0,0,3,2,10,6,0,0,3,5,2,5,1,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,RCMF,33,25,12,0,0,0,0,0,15,8,4,1,0,0,0,0,8,4,5,2,0,6,4,3,2,87,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,0,8,8,5,0,0,0,0,0,3,2,0,0,0,0,0,0,4,3,2,2,0,2,1,0,0,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,0,15,15,6,0,0,0,0,0,5,3,1,0,0,0,0,0,8,3,2,1,2,3,2,3,3,0,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,CF,28,22,13,0,0,0,0,0,11,10,1,0,0,0,0,0,6,3,2,0,2,1,0,3,2,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,AMF,23,16,9,0,0,0,0,0,9,8,3,2,0,0,0,0,5,1,1,0,0,2,1,2,1,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,LDMF,29,33,18,0,0,0,0,0,18,16,1,1,0,0,4,0,11,2,2,1,3,3,1,3,1,0,0
Drake Bulldogs - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-15,"LCMF, RW",56,53,35,0,0,0,0,0,30,21,1,0,3,0,5,3,21,13,4,3,3,10,2,11,3,0,0
Missouri State Bears - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-09,"LDMF, RDMF",25,20,12,0,0,0,0,0,10,8,1,0,0,0,0,0,9,4,2,1,2,4,1,3,0,89,0
SIUE Cougars - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-09-25,0,10,12,3,0,0,0,0,0,8,2,3,0,0,0,1,1,2,1,0,0,3,5,2,2,0,0,0
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,RDMF,21,13,5,0,0,0,0,0,7,5,0,0,1,0,0,0,5,0,1,0,0,0,0,1,1,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,LW,52,28,19,0,0,0,0,0,17,14,4,3,1,0,0,0,9,5,2,1,1,4,1,5,1,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,0,28,15,8,0,0,0,0,0,3,2,1,0,0,0,0,0,11,6,3,1,0,3,2,3,1,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,"LCMF, RCMF",59,45,27,0,0,1,0,0,26,19,4,0,0,0,2,1,17,8,4,2,4,9,5,10,1,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,RCMF,28,37,26,0,0,0,0,0,21,18,1,0,0,0,1,1,12,8,2,2,1,4,1,2,0,49,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,RCMF,49,33,19,0,0,0,0,0,12,9,3,3,0,0,0,0,16,10,7,5,3,8,4,12,4,0,0
Saint Louis Billikens - Rhode Island Rhody 3:1,United States. NCAA D1 Atlantic 10,2021-10-31,0,5,9,5,0,0,0,0,0,4,3,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0
VCU Rams - Saint Louis Billikens 1:4,United States. NCAA D1 Atlantic 10,2021-10-10,0,6,7,4,0,0,0,0,0,4,1,0,0,0,0,0,0,2,2,1,1,0,2,1,1,1,0,0
Saint Louis Billikens - George Mason Patriots 4:0,United States. NCAA D1 Atlantic 10,2021-09-26,0,8,6,4,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Saint Louis Billikens - SIUE Cougars 1:1 (E),United States. NCAA D1 Non-conference matches,2021-09-15,0,4,8,3,0,0,0,0,0,3,1,0,0,2,0,0,0,4,2,1,1,0,2,0,2,2,0,0
Saint Louis Billikens - Memphis Tigers 3:0,United States. NCAA D1 Non-conference matches,2021-09-07,CF,11,13,10,0,0,0,0,0,9,8,0,0,0,0,0,0,4,2,3,1,0,2,0,1,0,0,0
UIC Flames - Saint Louis Billikens 2:2,United States. NCAA D1 Non-conference matches,2021-09-04,0,7,13,3,0,0,0,0,0,5,2,0,0,0,0,0,0,3,1,0,0,1,3,0,1,0,0,0
Saint Louis Billikens - Creighton Bluejays 4:0,United States. NCAA D1 Non-conference matches,2021-08-29,CF,30,22,5,0,0,0,0,0,10,4,0,0,0,0,0,0,7,1,0,0,0,5,0,0,0,0,0
